date,campaign,channel,format,impressions,clicks,ctr_%,conversions,conv_rate_%,spend_eur,revenue_eur,roas,cpc_eur,client
2026-03-30,Brand Awareness - Instagram,Instagram,Reel,5600,122,2.18,4,3.69,385.52,200.44,0.52,3.16,Cupra Wines
2026-03-30,Conversion - Google Search,Google Ads,Search,7955,189,2.38,11,6.27,470.61,205.87,0.44,2.49,Cupra Wines
2026-03-30,Retargeting - Facebook,Facebook,Carousel,5101,201,3.94,6,3.36,625.11,476.39,0.76,3.11,Cupra Wines
2026-03-30,Email Newsletter - Weekly,Email,Newsletter,1312,55,4.24,1,2.53,114.95,84.46,0.73,2.09,Cupra Wines
2026-03-30,YouTube Pre-Roll,YouTube,Video,1301,18,1.41,0,4.92,15.3,0.0,0.0,0.85,Cupra Wines
2026-03-31,Brand Awareness - Instagram,Instagram,Reel,2642,83,3.15,4,5.66,46.48,178.66,3.84,0.56,Cupra Wines
2026-03-31,Conversion - Google Search,Google Ads,Search,9782,381,3.9,12,3.4,651.51,377.78,0.58,1.71,Cupra Wines
2026-03-31,Retargeting - Facebook,Facebook,Carousel,11944,113,0.95,6,5.75,167.24,360.11,2.15,1.48,Cupra Wines
2026-03-31,Email Newsletter - Weekly,Email,Newsletter,2749,39,1.43,0,2.11,78.78,0.0,0.0,2.02,Cupra Wines
2026-03-31,YouTube Pre-Roll,YouTube,Video,5627,295,5.25,7,2.47,129.8,320.61,2.47,0.44,Cupra Wines
2026-04-01,Brand Awareness - Instagram,Instagram,Reel,2908,132,4.54,9,6.95,128.04,492.4,3.85,0.97,Cupra Wines
2026-04-01,Conversion - Google Search,Google Ads,Search,5453,123,2.27,7,5.84,174.66,522.44,2.99,1.42,Cupra Wines
2026-04-01,Retargeting - Facebook,Facebook,Carousel,10844,590,5.44,40,6.83,867.3,3469.12,4.0,1.47,Cupra Wines
2026-04-01,Email Newsletter - Weekly,Email,Newsletter,843,32,3.8,1,5.61,38.4,24.97,0.65,1.2,Cupra Wines
2026-04-01,YouTube Pre-Roll,YouTube,Video,11635,539,4.64,12,2.37,258.72,891.72,3.45,0.48,Cupra Wines
2026-04-02,Brand Awareness - Instagram,Instagram,Reel,2987,68,2.3,2,3.82,79.56,133.33,1.68,1.17,Cupra Wines
2026-04-02,Conversion - Google Search,Google Ads,Search,4827,76,1.59,5,7.37,132.24,81.43,0.62,1.74,Cupra Wines
2026-04-02,Retargeting - Facebook,Facebook,Carousel,5615,136,2.43,7,5.61,296.48,670.39,2.26,2.18,Cupra Wines
2026-04-02,Email Newsletter - Weekly,Email,Newsletter,4526,57,1.27,0,1.68,90.06,0.0,0.0,1.58,Cupra Wines
