date,campaign,channel,format,impressions,clicks,ctr_%,conversions,conv_rate_%,spend_eur,revenue_eur,roas,cpc_eur,client
2026-04-19,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,8933,125,1.4,6,4.8,293.75,665.01,2.26,2.35,Sorace Mendoza
2026-04-19,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,4328,136,3.16,3,2.65,315.52,56.8,0.18,2.32,Sorace Mendoza
2026-04-19,Carrusel Testimonios - Instagram,Instagram,Carousel,9209,474,5.15,14,3.06,189.6,1639.74,8.65,0.4,Sorace Mendoza
2026-04-19,Lead Gen Consulta - Meta,Facebook,Lead Form,1624,64,3.97,4,6.33,121.6,70.65,0.58,1.9,Sorace Mendoza
2026-04-19,Remarketing Visitas Web,Instagram,Carousel,10815,257,2.38,12,4.9,377.79,374.74,0.99,1.47,Sorace Mendoza
2026-04-20,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,1838,80,4.39,6,7.73,108.0,464.31,4.3,1.35,Sorace Mendoza
2026-04-20,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,4105,224,5.47,3,1.66,313.6,283.61,0.9,1.4,Sorace Mendoza
2026-04-20,Carrusel Testimonios - Instagram,Instagram,Carousel,1105,47,4.33,0,1.85,159.33,0.0,0.0,3.39,Sorace Mendoza
2026-04-20,Lead Gen Consulta - Meta,Facebook,Lead Form,5715,127,2.24,5,4.29,231.14,541.16,2.34,1.82,Sorace Mendoza
2026-04-20,Remarketing Visitas Web,Instagram,Carousel,6656,234,3.52,3,1.3,702.0,288.21,0.41,3.0,Sorace Mendoza
2026-04-21,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,8597,177,2.06,10,6.05,184.08,750.59,4.08,1.04,Sorace Mendoza
2026-04-21,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,2878,78,2.73,2,3.44,141.18,209.09,1.48,1.81,Sorace Mendoza
2026-04-21,Carrusel Testimonios - Instagram,Instagram,Carousel,8961,440,4.92,17,3.95,550.0,1719.99,3.13,1.25,Sorace Mendoza
2026-04-21,Lead Gen Consulta - Meta,Facebook,Lead Form,5690,53,0.95,3,6.16,141.51,49.68,0.35,2.67,Sorace Mendoza
2026-04-21,Remarketing Visitas Web,Instagram,Carousel,5106,44,0.88,2,5.32,35.64,155.37,4.36,0.81,Sorace Mendoza
2026-04-22,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,6873,365,5.32,10,2.78,1241.0,452.13,0.36,3.4,Sorace Mendoza
2026-04-22,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,8186,328,4.01,3,1.03,488.72,333.29,0.68,1.49,Sorace Mendoza
2026-04-22,Carrusel Testimonios - Instagram,Instagram,Carousel,2804,87,3.1,5,6.66,230.55,291.69,1.27,2.65,Sorace Mendoza
2026-04-22,Lead Gen Consulta - Meta,Facebook,Lead Form,5175,64,1.24,4,7.59,191.36,216.61,1.13,2.99,Sorace Mendoza
2026-04-22,Remarketing Visitas Web,Instagram,Carousel,7709,338,4.38,17,5.11,1135.68,471.95,0.42,3.36,Sorace Mendoza
2026-04-23,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,5810,282,4.86,8,3.0,253.8,203.45,0.8,0.9,Sorace Mendoza
2026-04-23,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,3173,88,2.78,4,5.38,146.96,280.21,1.91,1.67,Sorace Mendoza
2026-04-23,Carrusel Testimonios - Instagram,Instagram,Carousel,10133,132,1.31,3,2.62,231.0,302.1,1.31,1.75,Sorace Mendoza
2026-04-23,Lead Gen Consulta - Meta,Facebook,Lead Form,2987,146,4.92,6,4.53,407.34,655.96,1.61,2.79,Sorace Mendoza
2026-04-23,Remarketing Visitas Web,Instagram,Carousel,9214,342,3.72,4,1.34,885.78,198.4,0.22,2.59,Sorace Mendoza
2026-04-24,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,6951,268,3.86,4,1.8,777.2,244.17,0.31,2.9,Sorace Mendoza
2026-04-24,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,5494,138,2.52,10,7.9,373.98,927.07,2.48,2.71,Sorace Mendoza
2026-04-24,Carrusel Testimonios - Instagram,Instagram,Carousel,6999,267,3.82,17,6.38,806.34,1984.73,2.46,3.02,Sorace Mendoza
2026-04-24,Lead Gen Consulta - Meta,Facebook,Lead Form,3878,44,1.15,3,7.25,102.96,324.38,3.15,2.34,Sorace Mendoza
2026-04-24,Remarketing Visitas Web,Instagram,Carousel,10571,526,4.98,40,7.75,1183.5,3216.02,2.72,2.25,Sorace Mendoza
2026-04-25,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,4056,169,4.17,11,7.0,177.45,518.47,2.92,1.05,Sorace Mendoza
2026-04-25,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,3947,191,4.85,8,4.55,76.4,803.16,10.51,0.4,Sorace Mendoza
2026-04-25,Carrusel Testimonios - Instagram,Instagram,Carousel,11236,129,1.15,7,5.71,159.96,222.92,1.39,1.24,Sorace Mendoza
2026-04-25,Lead Gen Consulta - Meta,Facebook,Lead Form,6462,180,2.79,4,2.71,77.4,121.34,1.57,0.43,Sorace Mendoza
2026-04-25,Remarketing Visitas Web,Instagram,Carousel,2898,49,1.7,2,4.8,70.07,220.46,3.15,1.43,Sorace Mendoza
2026-04-26,Carrusel Recuperacion Rapida - Instagram,Instagram,Carousel,4966,148,2.99,6,4.14,29.6,297.62,10.05,0.2,Sorace Mendoza
2026-04-26,Carrusel Mitos vs Realidad - Facebook,Facebook,Carousel,2871,50,1.75,0,1.37,72.5,0.0,0.0,1.45,Sorace Mendoza
2026-04-26,Carrusel Testimonios - Instagram,Instagram,Carousel,3848,198,5.16,13,6.76,536.58,380.31,0.71,2.71,Sorace Mendoza
